Condition,Mean_Recall,SD_Recall,SE_Recall,N
AR (Object Present),0.7878787878787878,0.4151487502672805,0.07226812131946557,33
Traditional (No Object),0.36363636363636365,0.4885042104591973,0.08503766788122595,33
