participant_id;age;gender;nationality;language_experience;condition_order;session_id;marker_id;object_name;target_word;modality;phase;word_shown_at;recall_id;audio_file_path;voice_recorded_at;pronounciation_score;recall_binary
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;61;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:08;600;voice_recordings/P006_20251212_170808_919_CUCUMBER_ID_5_castravete.m4a;12.12.25 16:08;100;0
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;62;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:08;610;voice_recordings/P006_20251212_170819_372_SPOON_ID_4_lingură.m4a;12.12.25 16:08;100;0
7;23;m;Italian;Italian, English;ar-first;67;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 16:14;660;voice_recordings/P007_20251212_171438_159_SHOES_ID_3_pantofi.m4a;12.12.25 16:14;100;1
7;23;m;Italian;Italian, English;ar-first;68;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 16:14;670;voice_recordings/P007_20251212_171449_695_APPLE_ID_2_măr.m4a;12.12.25 16:14;100;1
7;23;m;Italian;Italian, English;ar-first;69;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 16:15;680;voice_recordings/P007_20251212_171506_603_CUP_ID_1_cupă.m4a;12.12.25 16:15;100;0
7;23;m;Italian;Italian, English;ar-first;70;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:15;690;voice_recordings/P007_20251212_171523_945_JACKET_ID_6_jachetă.m4a;12.12.25 16:15;100;1
7;23;m;Italian;Italian, English;ar-first;71;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:15;700;voice_recordings/P007_20251212_171537_158_CUCUMBER_ID_5_castravete.m4a;12.12.25 16:15;100;0
7;23;m;Italian;Italian, English;ar-first;72;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:15;710;voice_recordings/P007_20251212_171552_101_SPOON_ID_4_lingură.m4a;12.12.25 16:15;100;0
8;23;m;Italian;Italian, English, Spanish, German;ar-first;76;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 16:20;750;voice_recordings/P008_20251212_172013_332_SHOES_ID_3_pantofi.m4a;12.12.25 16:20;100;1
8;23;m;Italian;Italian, English, Spanish, German;ar-first;77;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 16:20;760;voice_recordings/P008_20251212_172025_032_APPLE_ID_2_măr.m4a;12.12.25 16:20;100;0
8;23;m;Italian;Italian, English, Spanish, German;ar-first;78;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 16:20;770;voice_recordings/P008_20251212_172034_822_CUP_ID_1_cupă.m4a;12.12.25 16:20;100;1
8;23;m;Italian;Italian, English, Spanish, German;ar-first;79;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:20;780;voice_recordings/P008_20251212_172049_959_JACKET_ID_6_jachetă.m4a;12.12.25 16:20;100;1
8;23;m;Italian;Italian, English, Spanish, German;ar-first;80;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:20;790;voice_recordings/P008_20251212_172101_243_CUCUMBER_ID_5_castravete.m4a;12.12.25 16:21;100;0
8;23;m;Italian;Italian, English, Spanish, German;ar-first;81;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:21;800;voice_recordings/P008_20251212_172113_936_SPOON_ID_4_lingură.m4a;12.12.25 16:21;100;0
9;27;m;Swedish;Swedish, English;ar-first;85;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 16:31;840;voice_recordings/P009_20251212_173157_960_SHOES_ID_3_pantofi.m4a;12.12.25 16:31;85;1
9;27;m;Swedish;Swedish, English;ar-first;86;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 16:32;850;voice_recordings/P009_20251212_173210_327_APPLE_ID_2_măr.m4a;12.12.25 16:32;100;1
9;27;m;Swedish;Swedish, English;ar-first;87;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 16:32;860;voice_recordings/P009_20251212_173221_822_CUP_ID_1_cupă.m4a;12.12.25 16:32;90;0
9;27;m;Swedish;Swedish, English;ar-first;88;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:32;870;voice_recordings/P009_20251212_173235_225_JACKET_ID_6_jachetă.m4a;12.12.25 16:32;100;1
9;27;m;Swedish;Swedish, English;ar-first;89;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:32;880;voice_recordings/P009_20251212_173247_032_CUCUMBER_ID_5_castravete.m4a;12.12.25 16:32;100;0
9;27;m;Swedish;Swedish, English;ar-first;90;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:32;890;voice_recordings/P009_20251212_173256_156_SPOON_ID_4_lingură.m4a;12.12.25 16:32;100;0
10;23;m;Turkish;Turkish, English, French;ar-first;94;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 17:18;930;voice_recordings/P010_20251212_181825_106_SHOES_ID_3_pantofi.m4a;12.12.25 17:18;95;1
10;23;m;Turkish;Turkish, English, French;ar-first;95;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 17:18;940;voice_recordings/P010_20251212_181837_685_APPLE_ID_2_măr.m4a;12.12.25 17:18;100;1
10;23;m;Turkish;Turkish, English, French;ar-first;96;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 17:18;950;voice_recordings/P010_20251212_181849_361_CUP_ID_1_cupă.m4a;12.12.25 17:18;100;0
10;23;m;Turkish;Turkish, English, French;ar-first;97;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 17:18;960;voice_recordings/P010_20251212_181901_647_JACKET_ID_6_jachetă.m4a;12.12.25 17:19;100;1
10;23;m;Turkish;Turkish, English, French;ar-first;98;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 17:19;970;voice_recordings/P010_20251212_181910_729_CUCUMBER_ID_5_castravete.m4a;12.12.25 17:19;90;0
10;23;m;Turkish;Turkish, English, French;ar-first;99;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 17:19;980;voice_recordings/P010_20251212_181921_921_SPOON_ID_4_lingură.m4a;12.12.25 17:19;100;0
11;24;f;Italian;Italian, English, Spanish;tradtional-first;107;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;15.12.25 17:59;1050;voice_recordings/P011_20251215_185950_008_JACKET_ID_6_jachetă.m4a;15.12.25 17:59;100;0
11;24;f;Italian;Italian, English, Spanish;tradtional-first;108;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;15.12.25 17:59;1060;voice_recordings/P011_20251215_190004_597_CUCUMBER_ID_5_castravete.m4a;15.12.25 18:00;100;0
11;24;f;Italian;Italian, English, Spanish;tradtional-first;109;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;15.12.25 18:00;1070;voice_recordings/P011_20251215_190016_874_SPOON_ID_4_lingură.m4a;15.12.25 18:00;100;0
11;24;f;Italian;Italian, English, Spanish;tradtional-first;110;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;15.12.25 18:00;1080;voice_recordings/P011_20251215_190027_214_SHOES_ID_3_pantofi.m4a;15.12.25 18:00;100;1
11;24;f;Italian;Italian, English, Spanish;tradtional-first;111;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;15.12.25 18:00;1090;voice_recordings/P011_20251215_190038_539_APPLE_ID_2_măr.m4a;15.12.25 18:00;95;1
11;24;f;Italian;Italian, English, Spanish;tradtional-first;112;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;15.12.25 18:00;1100;voice_recordings/P011_20251215_190047_651_CUP_ID_1_cupă.m4a;15.12.25 18:00;95;1
